product_id,product_name,price,category,description,created_at
1,Phantom Pain,$6.45,Drama,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2024-07-03 10:34:28
2,And Soon the Darkness,$7.43,Mystery|Thriller,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2024-02-08 20:41:56
3,"Little Girl Who Lives Down the Lane, The",$0.68,Drama|Mystery|Thriller,Nulla ut erat id mauris vulputate elementum. Nullam varius.,2024-09-27 05:56:23
4,Grand Illusion (La grande illusion),$4.53,Drama|War,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",2024-05-13 05:59:08
5,Story of My Death,$5.64,Drama,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2024-06-30 23:15:56
6,Saint Laurent,$6.68,Drama|Romance,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2024-09-03 05:16:07
7,Alcina,$2.54,Drama|Fantasy|Romance,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.",2024-02-25 05:38:18
8,"Trap, The (Klopka)",$5.84,Crime|Drama|Thriller,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2024-08-24 09:59:18
9,"Suriyothai (a.k.a. Legend of Suriyothai, The)",$1.94,Action|Adventure|Drama|War,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2024-04-19 15:09:42
10,Something in the Air (Apres Mai),$3.02,Action|Drama,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2024-10-20 12:08:26
